"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3305462,"KEG Asia Private Limited",67095035,"DOVE DEEP PURE FC FOAM 4X6X100G","7/3/2023","SYS15592415",4200,912,431,"HPC"
"TGIC",3305471,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680987",3600,1080,77,"HPC"
"TGIC",3305472,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680986",3600,913,156,"HPC"
"TGIC",3305481,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","5/7/2023","UINT0000003136",2880,913,148,"HPC"
"TGIC",3305482,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","5/7/2023","UINT0000003137",2880,913,148,"HPC"
"TGIC",3305491,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025747",1848,1095,999,"HPC"
"TGIC",3305492,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025746",1848,1095,999,"HPC"
"TGIC",3305501,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/15/2021","SYS15018110",0,1095,246,"HPC"
"TGIC",3305502,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/15/2021","SYS15018111",0,1095,241,"HPC"
"TGIC",3305511,"KEG Asia Private Limited",68633553,"DOVE BAR SENSTV SKIN 18X15OZ","2/14/2024","UINT0000022243",720,720,825,"HPC"
"TGIC",3305512,"KEG Asia Private Limited",68633553,"DOVE BAR SENSTV SKIN 18X15OZ","2/15/2024","UINT0000022242",1080,720,825,"HPC"
"TGIC",3305531,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025743",1848,1095,999,"HPC"
"TGIC",3305532,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025741",1848,1095,999,"HPC"
"TGIC",3305541,"KEG Asia Private Limited",67775600,"CAMAY CLASSIC RL 24X3X125G","9/1/2023","UNIT0000020135",2016,730,360,"HPC"
"TGIC",3305542,"KEG Asia Private Limited",67775600,"CAMAY CLASSIC RL 24X3X125G","9/1/2023","UNIT0000020134",2016,730,360,"HPC"
"TGIC",3305571,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/2/2022","SYS15683816",1200,1080,376,"HPC"
"TGIC",3305571,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/2/2022","SYS15683815",4320,1095,491,"HPC"
"TGIC",3305581,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","9/7/2021","SYS15683793",0,1095,82,"HPC"
